authority_code,statutory_ref,act_treaty,entry_class
"270010","Various Statutes","NA","Sale-Public Lands-Colorado"
"270011","Various Statutes","NA","Sale-Public Lands-Oregon"
"270012","Various Statutes","NA","Sale-Public Lands-Wyoming"
"270013","Various Statutes","NA","Sale-Public Lands-North Dakot"
"270014","21 Stat. 469","September 17, 1850","Sault Ste. Marie Land Claims"
"270015","Various Statutes","NA","Sale-Public LandsWashington"
"270016","104 Stat. 1020","January 23, 1990","Sale-Specific Pub Land-MN"
"270017","","NA","Sale-Specific Pub Land-AL"
"270020","20 Stat. 89","June 3, 1878","Sale-Timber and Stone Act"
"270099","","NA","To Be Defined-Sale"
"271000","90 Stat. 2743","October 21, 1976","Sale-Public Lands-FLPMA"
"271001","RS 2455","August 3, 1846","Sale-Public Lands-RS 2455"
"272000","90 Stat. 2743","October 21, 1976","Sale-Sec 203 and 209 Flpma"
"272001","89 Stat. 977","September 19, 1964","Sale-Public Land Sale Act"
"272002","3 Stat. 566","April 24, 1820","Sale-Cash Entry"
"272003","17 Stat. 607","March 3, 1873","Sale-Coal Land"
"272006","2 stat. 73","April 15, 1800","Credit - Harrison Land Act"
"272011","90 Stat. 2743","October 21, 1976","Sale-Sec 209 Minerals-FLPMA"
"273000","52 Stat. 609","June 1, 1938","Sale-Small Tract"
"274000","44 Stat. 741","June 14, 1926","Sale-Rec and Public Purposes"
"274001","31 Stat. 330","June 6, 1900","Sale-Mission Site-AK"
"274002","BLM MANUAL 2740","NA","R and Pp Reconveyed"
"274200","90 Stat. 2743","October 21, 1976","Sale-R and Pp Unsurveyed"
"275000","34 Stat. 1052","March 1, 1907","Sale-Cemetery Lands"
"275001","26 Stat. 502","September 30, 1890","Sale-Cemetery and Park to Cit"
"276000","RS 2380 43USC711","NA","Sale-Presidential Townsite"
"276200","13 Stat. 343","July 1, 1864","Sale-Townsite Settlement"
"276201","38 Stat. 558","July 28, 1914","Sale-Townsite-Coconino Arizon"
"276203","5 Stat. 70","July 2, 1836","Sale-Townlots WI and IA"
"276204","4 Stat. 334","February 5, 1829","Sale-Town Lots Galena Illinoi"
"276205","44 Stat. 377","March 3,1877","Sale-Townsite-Hot Springs"
"276210","33 Stat. 352","July 27, 1904","Sale-Indian Townsite-MT"
"276211","35 Stat. 460","May 29, 1908","Sale-Indian Townsite-ND,SD"
"276212","35 Stat. 781","March 3, 1909","Sale-Indian Resrv to RR"
"276213","25 Stat. 452","September 1, 1888","Sale-Indian Townsite-ID"
"276214","34 Stat. 80 Sec. 11","March 22, 1906","Sale-Indian Townsite-WA"
"276215","36 Stat. 367","May 13, 1910","Sale-Indian Townsite-OR"
"276300","6 Stat. 657","May 23, 1844","Sale-Trustee Townsite"
"276400","32 Stat. 388","June 17, 1902","Sale-Reclamation Townsite"
"276402","32 Stat. 388","June 17, 1902","Sale-Bureau of Recl-public"
"276403","36 Stat. 895","February 2, 1911","Sale-Bureau of Recl-acquired"
"276500","40 Stat. 1053","January 7, 1919","Sale-School Purposes"
